created_at,text,username
2021-12-09 13:36:29+00:00,Artis teratas saya di 2021. Siapa artis teratasmu? #SpotifyWrapped https://t.co/KczQT4QnVP',Ayu Oktaviani Pakaya
2021-12-09 13:35:41+00:00,"Untuk podcast terfavorit saya di 2021, So Mad About Life: terima kasih telah menemani saya di @Spotify sepanjang tahun! #SpotifyWrapped https://t.co/7XTaSTDbx8'",Ayu Oktaviani Pakaya
2021-12-09 13:26:12+00:00,"Terima kasih, @bts_bighit, karena telah menghabiskan 795 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/ZV25GXdCQt'",Tientaejoonhope
2021-12-09 13:16:53+00:00,Jarang dengerin dispotify sih jdi dikit bgt wkwk #SpotifyWrapped https://t.co/rat1ZjWqgS',W!💙Ohs!
2021-12-09 12:22:58+00:00,"Tahun ini, saya mendengarkan selama 288 menit. Kalau kamu berapa lama? Cari tahu dengan #SpotifyWrapped \nhttps://t.co/UYtbInGLmo'",W!💙Ohs!
2021-12-09 12:22:48+00:00,"Terima kasih, David Archuleta, karena telah menghabiskan 861 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/P9XITgSzOn'",Devi / デビ
2021-12-09 12:05:39+00:00,"Terima kasih, THE BOYZ, karena telah menghabiskan 3.153 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/EjoRZdU0LP'",404found🎢
2021-12-09 12:00:02+00:00,"Siapa nih, yang bisa relate sama ini? Cek juga apa lagu teratasmu 2021 ini di #SpotifyWrapped https://t.co/FBdDpPjXRq'",Spotify Indonesia
2021-12-09 11:48:14+00:00,"Terima kasih, @justinbieber, karena telah menghabiskan 1.177 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/kkhVPjmcb1'",Aziz Ramadani
2021-12-09 11:32:42+00:00,Ini Kilas Balik 2021 saya! Terima kasih atas semua cinta di tahun ini. #SpotifyWrapped #2021PodcasterWrapped https://t.co/HdalLbVjrF',Dewa Risqullah
2021-12-09 11:31:08+00:00,Akhirnya bisa ngehype #SpotifyWrapped \nhttps://t.co/t6bvUDcEHC',yumna tartaglia
2021-12-09 11:08:45+00:00,Kira-kira seperti ini perjalanan datamu di @Spotify hingga menjadi #SpotifyWrapped !\n\xe2\xac\x87\xe2\xac\x87\xe2\xac\x87 https://t.co/jE3cymDwgZ',Algoritma Data Science School
2021-12-09 11:04:07+00:00,\xf0\x9f\x8e\xb6 JUTAAN DATAMU DALAM SPOTIFY WRAPPED 2021! \xf0\x9f\x8e\xb6\n\nBagaimana Data Science di balik Spotify Wrapped? Team Algoritma beri kamu gambarannya disini!\n\n#teamalgoritma #spotifywrapped #datascience https://t.co/ZyJrL5c3OE',Algoritma Data Science School
2021-12-09 10:50:13+00:00,Ini Kilas Balik 2021 saya! Terima kasih atas semua cinta di tahun ini. #SpotifyWrapped #2021PodcasterWrapped https://t.co/HdalLbVjrF',Dewa Risqullah
2021-12-09 10:41:58+00:00,"\xe2\xa0\x80\xe2\xa0\x80\n\xe2\xa0\x80\xe2\xa0\x80\nBerikut adalah #SpotifyWrapped dari BTS untuk tahun 2021! Terima kasih banyak untuk dukungan kalian tahun ini. Borahae, ARMY. \xf0\x9f\x92\x9c\n\xe2\xa0\x80\xe2\xa0\x80\n\xe2\xa0\x80\xe2\xa0\x80 https://t.co/XIhIC4T0eJ'",태형.
2021-12-09 10:35:39+00:00,Kesi - @Kaa_Moto \xf0\x9f\x92\xbd\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\n#SpotifyWrapped #SpotifyWrapped2021 https://t.co/LJEGrQdtES',Ogwel
2021-12-09 10:11:15+00:00,Duo anak kesayangan kuuuu\xf0\x9f\x92\x9a\xe2\x9c\x8c\xef\xb8\x8f Semoga kedepannya kalian makin sukses yaaa boys\xf0\x9f\xa5\xba @treasuremembers @TXT_members #\xed\x8a\xb8\xeb\xa0\x88\xec\xa0\x80 #\xed\x88\xac\xeb\xaa\xa8\xeb\xa1\x9c\xec\x9a\xb0\xeb\xb0\x94\xec\x9d\xb4\xed\x88\xac\xea\xb2\x8c\xeb\x8d\x94  #TREASURE #TOMORROWXTOGETHER\n#SpotifyWrapped https://t.co/Owzm7rvKwi',🦋 sha 🐺 ||❗SMA❗
2021-12-09 10:01:11+00:00,"Happy anniversary #SobatSiscaPodcast by @Siscanation_INA yg selalu konsisten dan produktif buat bikin podcast dg konten2 yg kreatif, keren dan berkualitas. Btw, #SobatSiscaPodcast jg jadi top podcast di #SpotifyWrapped appmin lho. Kalian juga wajib dengerin ya.\n#1TahunMengudara https://t.co/VYnNOoKv0t https://t.co/X587M2hqO3'",JKT48 Acoustic App
2021-12-09 09:58:12+00:00,"Terima kasih, @lilnasx kerana meluangkan masa selama 82 minit dengan saya pada tahun ini di @Spotify. Anda #1 saya. #SpotifyWrapped https://t.co/BD2DCldG74'",ShahrulShahrul10
2021-12-09 09:53:43+00:00,"From This to This, Lihat Lagi Pertumbuhan BTS yang Pesat dan Organik di Spotify\n\n#BTS #SpotifyWrapped #DreamersDaily\nhttps://t.co/KCc2b3C2el https://t.co/AtHuHjiA1M'",DREAMERS.ID
2021-12-09 09:41:52+00:00,#SpotifyWrapped \xf0\x9f\xa4\xad  kelihatan udah tua nya hhh https://t.co/SijBuwuNlB',lily hayden⁷
2021-12-09 09:34:34+00:00,"Kalau 2021 adalah sebuah film, inilah soundtrack saya. Kalau kamu? #SpotifyWrapped \nhttps://t.co/wvBtl5tG1U'",Toni Hadi Pratama
2021-12-09 09:33:24+00:00,Ini Kilas Balik 2021 saya! Terima kasih atas semua cinta di tahun ini. #SpotifyWrapped #2021PodcasterWrapped https://t.co/zQE7Gsjdtd',Syayid Sandi Sukandi
